date,portfolio_value,ADA-USD,ETH-USD,LINK-USD,LTC-USD,SOL-USD,UNI-USD,XRP-USD,ADI,AKAM,BLDR,CARR,CBRE,CSGP,DECK,DXCM,GM,GS,INTC,LII,MCHP,MCO,ODFL,PCG,PHM,STZ,TSLA
2025-01-31,1020872.8002945506,0.0,0.0,24108.793417866407,0.0,53150.00176418422,0.0,24656.952041976478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26863.064539068557,0.0,40746.6156980829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,945927.1702555823,0.0,0.0,22095.427873850138,0.0,49053.603466795095,0.0,23430.766081564925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-02,938492.7414869199,0.0,0.0,19583.096100292067,0.0,46606.398254577405,0.0,20955.874298678387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03,1010271.1435568293,0.0,0.0,20748.616571176353,0.0,49596.1594222352,0.0,21941.69927174648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40641.75839578206,0.0,0.0,0.0,54975.19768981177,0.0,0.0,0.0,0.0
2025-02-04,1005620.1497048852,0.0,0.0,19233.893611233776,0.0,47517.865930886954,0.0,20595.453860953436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40453.02325143474,0.0,36736.11919333127,0.0,55461.387170678776,0.0,0.0,0.0,0.0
2025-02-05,1005397.8635531563,0.0,0.0,18410.528569328133,0.0,44970.057979816265,0.0,19351.729211958598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41207.97582851531,30661.27424537379,37364.68449601748,0.0,58478.148016524334,0.0,0.0,0.0,0.0
2025-02-06,1002789.6582573373,0.0,0.0,17825.662809837802,0.0,43543.858179265364,0.0,18901.42686862962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40641.75839578206,30679.616376345275,37092.30762976199,0.0,59151.56279209286,0.0,0.0,0.0,0.0
2025-02-07,1002113.0110981322,0.0,0.0,17626.91889334145,0.0,44101.92433631745,0.0,19443.26117969524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40054.57350248574,30568.021544562627,36240.25285921902,0.0,59550.1740149606,0.0,0.0,0.0,0.0
2025-02-08,837721.3733749621,0.0,0.0,17701.30798135916,0.0,45798.78590793294,0.0,19693.394718119893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-09,837551.6543860876,0.0,0.0,17548.483322719625,0.0,46004.75648369625,0.0,19470.529812121542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,1007907.947431724,0.0,0.0,17990.418466666153,0.0,45972.35661784584,0.0,19679.74878175088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41459.62935414022,30992.680214459757,36351.99625104565,0.0,60933.23297826534,0.0,0.0,0.0,0.0
2025-02-11,1012288.7078842904,0.0,0.0,17871.693606528257,0.0,45427.63693676326,0.0,19610.86449779216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43976.14461090393,32014.199259518922,36722.15328250558,0.0,62138.130922728094,0.0,0.0,0.0,0.0
2025-02-12,1016565.3925517359,0.0,0.0,18387.81121737444,0.0,45150.32993710735,0.0,20087.03137138061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47142.76314224156,32352.757076783593,37609.12685641806,0.0,61307.68818288012,0.0,0.0,0.0,0.0
2025-02-13,1021528.2349806691,0.0,0.0,17791.778774981565,0.0,44619.63946095912,0.0,20815.508625925468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50602.97412022735,32949.62069589306,37895.47231770275,0.0,62325.35621742962,0.0,0.0,0.0,0.0
2025-02-14,1025088.4463653975,0.0,0.0,18611.85250704202,0.0,45875.82924573694,0.0,22258.824945416745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49491.51471511812,33069.205573876745,38943.07936604408,0.0,62310.255244612716,0.0,0.0,0.0,0.0
2025-02-15,839783.2519577385,0.0,0.0,18198.365251190753,0.0,44624.48858719673,0.0,22432.51335180084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-16,837867.0639753377,0.0,0.0,17932.083656671093,0.0,43248.761713607084,0.0,22158.33383750936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-17,835203.0585825252,0.0,0.0,18310.37218223352,0.0,40771.43589992937,0.0,21593.365732812188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-18,1026060.8028867019,0.0,0.0,17095.469264133088,0.0,38796.889201846665,0.0,20785.964379642566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57439.514234255344,33804.25486552172,40409.733528447556,0.0,63201.09264530482,0.0,0.0,0.0,0.0
2025-02-19,1027703.2327163792,0.0,0.0,17235.406616223238,0.0,38780.02754700167,0.0,22263.740271346996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53937.36033534922,34608.39374948701,44411.59642573264,0.0,61938.823003688354,0.0,0.0,0.0,0.0
2025-02-20,1027586.3623942095,0.0,0.0,17542.337715836467,0.0,40394.93713461451,0.0,21857.80561979743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54713.28837278705,34088.59983337061,0.0,0.0,59565.27037256576,0.0,0.0,0.0,0.0
2025-02-21,1014960.3863827412,0.0,0.0,19017.00397249697,0.0,38752.683376665416,0.0,20877.445993370464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52154.830195103,32631.259695314762,0.0,0.0,54476.93019981829,0.0,34650.42231845823,0.0,0.0
2025-02-22,842247.3599208277,0.0,0.0,19421.613668844024,0.0,39503.27560063431,0.0,20922.66001983527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-23,841174.3825809361,0.0,0.0,19284.39711862484,0.0,38556.84169780131,0.0,20933.33313299588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-24,1002580.4155416614,0.0,0.0,16669.789158590964,0.0,32579.90673020384,0.0,18696.66000876732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50896.5705667726,32404.845140634072,0.0,0.0,54951.041671558814,0.0,34176.5854758458,0.0,0.0
2025-02-25,1002157.648009056,0.0,0.0,16721.35536420926,0.0,33065.95023322429,0.0,19047.853220506197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48212.283626327546,32886.37345289046,0.0,0.0,54319.90685075058,0.0,35698.90847185962,0.0,0.0
2025-02-26,998352.9564401484,0.0,0.0,16626.32536484277,0.0,30937.446402978192,0.0,17994.946751598727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49323.74703133387,33110.12797068024,0.0,0.0,53054.614245443685,0.0,35100.7318839829,0.0,0.0
2025-02-27,996138.980880154,0.0,0.0,16516.277074319805,0.0,31577.499555774717,0.0,18045.941056395754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48421.994231032135,32008.885673631954,0.0,0.0,52776.796959475956,0.0,34586.569540235556,0.0,0.0
2025-02-28,999342.157110303,0.0,0.0,16199.008896431998,0.0,0.0,0.0,17610.496384557442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29074.215243029073,0.0,49764.13570130611,31945.10642325117,0.0,0.0,53299.21585251066,29454.625535928477,34707.54861296181,0.0,0.0
